v1 v2
52353 52354
8703 25757
46171 52405
2984 13857
3945 4950
4879 38539
12709 17588
24573 26626
7438 7491
6505 27000
27253 27500
12498 27988
2589 6907
18600 37604
20029 24646
17540 18076
10460 42993
12176 23402
27805 40765
14270 31255
15569 34369
16567 36584
6229 12835
22904 45721
6503 12883
10248 21587
5170 17545
17142 34755
11453 30481
32510 39233
10937 34955
38476 53109
17489 29129
26895 26967
15744 22324
3574 6843
5455 28451
5821 6089
21221 25836
22455 24508
24822 27579
16519 16529
2759 8220
10268 32717
5497 11272
1566 6872
14500 26794
22165 24666
6224 40554
4129 8332
5092 5139
1103 3412
7517 28349
654 53208
6349 21276
280 7466
37631 39402
32365 43575
20654 26288
13199 25758
27689 32707
27487 29584
10259 27662
5382 9859
3424 8806
5559 7764
11318 22665
12305 12311
1807 4356
16576 20734
6641 21659
51611 51612
3991 14660
2607 19519
9889 25263
6505 10602
29594 45342
17835 22228
7484 16027
11739 18341
24082 33769
32217 33877
38432 44008
6785 39358
10267 22396
110 118
34786 48378
3029 26969
1786 3797
38955 47492
9150 14135
27159 34536
7051 8662
8710 11554
24066 37145
359 10397
10484 24803
5288 27532
7663 12084
4760 32198
29241 42674
14230 23059
30093 40807
8921 31156
22900 39784
12513 18968
25563 25755
20259 37942
12360 45068
3698 27800
24560 31902
6592 6669
6025 7369
2934 7435
13167 34980
24436 40325
26660 30817
9908 35150
14660 17184
114 608
12845 14017
11623 26997
17301 35183
3835 13262
2791 15724
11837 27817
28286 32713
7424 56440
5616 12637
7532 17401
3908 8272
19405 25798
60053 62911
12668 17198
22119 47935
14230 31274
4282 16908
7190 11501
1004 3399
4090 5916
5065 14665
14312 20138
39133 39136
4737 21445
2760 4680
6848 22053
16348 16353
19351 26362
3485 19982
12414 17668
11211 46553
7596 24521
9469 17317
3428 13131
8235 32422
11928 52051
1439 5779
591 9439
24626 30513
30750 30751
16440 30882
9908 44114
20407 25689
7597 31841
335 813
18766 28741
8919 11985
5302 23404
12076 22873
16707 35920
2511 4517
13074 20193
3600 8433
19422 39233
19566 26865
18938 34198
42005 55487
320 24030
554 46819
8406 26655
21964 42723
11885 16331
9 5428
48693 48694
11132 39799
8815 11573
7709 7712
6634 29490
14367 22348
830 13425
30182 33922
4824 9292
307 7616
12315 25224
1669 6908
2713 9768
25618 50359
5463 5477
16129 33306
2555 46383
8923 16249
4365 10917
11155 27052
6116 26422
7658 19873
3656 15580
40574 44510
25085 31908
1729 7499
20802 36314
12308 53741
157 6951
43319 53712
1443 18531
2570 4231
8675 13013
12540 20085
30798 38619
5510 31992
611 42022
7765 8432
881 13306
2977 8554
2118 2163
11539 19784
10155 35784
5303 9590
8717 23492
27959 34775
1733 4846
24374 24612
16555 21050
6234 6238
10113 10387
10855 10864
24780 28805
11498 16576
11953 12430
27525 53832
10100 19149
19045 40863
19515 28545
10306 28764
29158 29159
807 1281
10828 14656
19948 44333
163 1194
11131 18482
15148 28935
2732 26726
17918 35324
15682 24950
2583 18432
3666 20028
26332 26548
10124 11881
4967 10275
50788 50789
682 7184
3842 3924
1502 17181
760 2212
27554 38753
16660 41418
32510 32668
19469 28841
26765 28490
23354 24609
23364 45413
1172 2626
2208 8627
17067 31234
4785 13374
18659 23466
27490 30014
35053 41637
12824 35342
1613 5948
9874 13222
13755 45201
16720 26831
14296 38284
31225 34676
13892 15202
17146 32464
4263 10743
28202 34402
1514 3071
29713 39858
40079 43953
7867 9653
17417 25570
28240 42593
3695 7046
40969 43179
3424 19434
1064 17575
5181 19544
12992 20892
5427 19912
3287 14547
7071 23081
10076 10621
8771 20407
10906 15927
33727 45011
12902 39488
18605 27888
25337 26764
11718 33795
20553 39530
3545 25344
16720 16731
48850 55795
7255 20193
3604 5157
16575 44148
6319 24005
21482 30211
22514 37931
4455 20297
33387 45741
1927 9219
9373 26418
5102 8709
15995 16014
19721 21282
19421 26953
2803 18810
25617 26141
13493 16162
25997 33796
26170 32800
5300 18343
11853 27047
994 33635
36362 45108
6664 7196
212 6149
4676 4866
12221 46990
16290 35429
28832 39486
35573 38599
8759 10130
465 39847
767 55044
5584 7268
12953 13541
27125 34396
46349 46352
11449 50375
25109 47913
6878 30314
9955 41052
5055 24983
9200 49327
13661 35885
35852 51241
1601 13333
8908 21935
30983 35470
5221 34987
5515 8613
15576 22289
3429 19437
9304 9551
25673 25757
10611 23862
6593 8861
11259 12991
8630 26111
25587 36638
11428 18045
14099 36072
14594 14599
13177 13471
24032 26834
47258 47337
6396 8629
53139 57996
16167 28330
12467 15210
32701 37007
14167 24004
1311 6375
10106 13853
1694 7479
22136 34490
26166 26629
26658 34816
22471 36374
13571 31886
3916 9704
1944 10889
1467 6871
1506 6323
5026 26847
488 21131
5157 8615
21251 23745
349 22635
5214 6966
6053 21300
5139 13059
19520 34730
2465 2471
21257 25124
13219 35601
6040 19285
26749 32528
601 1936
4702 8385
4914 46957
14110 27482
9354 29009
25174 25176
2523 18136
5492 30305
1103 16799
15579 15596
16157 19754
29500 32680
18155 41210
28282 37566
5885 11629
31338 42176
36412 43450
5132 7912
3968 3969
19704 31134
49746 51274
1998 21072
3691 37541
5068 9229
2332 7402
6746 30109
16429 16430
11069 39914
14177 15547
27035 48248
8444 25224
25830 29923
5488 10870
32369 32788
2678 18290
5814 18461
9972 43153
2315 2576
30692 53098
11020 11168
13606 21368
8605 21455
6540 13685
3263 4939
5419 8618
26674 33015
3180 12558
4884 35190
9367 14527
11038 12041
45851 52874
5097 5438
28189 32581
1975 5106
2784 20025
12347 20015
548 622
11824 24470
16767 33179
15245 19314
11916 21502
33346 33529
44623 55730
3883 12147
27996 51475
16434 42935
1677 1678
7398 17984
10242 50538
14267 38029
10021 11961
3882 10709
10076 18895
16030 43531
6171 6955
20627 30531
22498 30071
916 8997
28386 30019
11795 14955
3551 18602
12931 16485
15588 32000
28195 31254
4455 12283
50756 53220
12159 24784
19539 36965
5008 47969
10922 10933
19076 27063
4429 10184
6149 18555
317 3982
11864 24662
22512 34675
32449 43904
3421 7184
27171 39951
23480 23485
30169 38878
39645 40776
9193 36591
23018 23728
27885 46020
4884 38731
19422 30556
689 6264
12023 29070
4758 14343
15886 17120
9925 39616
21623 33484
20927 20931
4912 39251
33499 33826
29960 44026
14510 33117
4456 26660
13173 16046
23300 27402
17314 30556
4610 58089
5586 22466
27273 36417
13990 23733
21903 39019
12326 22297
868 3436
4374 32498
28925 28929
2301 7438
13756 49037
1684 23279
20686 46691
4449 44830
11367 12375
5228 38595
792 8084
2432 9345
9321 30573
12863 51083
18924 45046
20415 33693
32623 34412
21947 22357
9905 24970
33396 33400
9547 37827
8101 20376
19348 29534
3306 15960
19999 30934
10594 24086
89 596
13495 20027
650 2717
17244 42106
38782 42770
6270 38811
3364 8362
9604 54090
13875 19593
2844 4971
3702 36333
11152 19678
12898 27048
13918 17641
17663 21456
9933 16229
11319 22338
11549 17237
15929 21159
1181 9953
19098 20008
21045 41859
6235 31492
118 584
1656 38732
5410 15022
6433 22635
4395 17286
26434 34065
7190 11522
59967 62578
16702 34563
5206 10106
19378 20378
3659 35488
4625 10965
2945 16200
6663 13918
11120 21748
3072 8905
11814 39002
2524 10182
622 1622
84 2938
10183 12437
432 7903
332 33696
1631 53956
10026 12496
8219 40882
7619 18401
14775 49384
7510 20462
8136 34067
9724 11489
11147 11854
4205 14142
21369 26370
471 10598
8629 28615
7119 10391
9718 30296
33020 33022
20221 34697
34289 40349
21323 22934
23637 38920
131 14687
2698 13070
5977 11182
19568 25664
30058 40736
3523 33860
8915 11636
6874 9593
23588 30400
24433 31281
31716 31722
15590 15602
24451 45475
2064 41796
596 6069
6039 38844
28054 32977
1041 3627
1418 11224
19515 25669
16065 34997
18941 36989
423 8257
1337 11397
12550 12668
22052 28818
5302 45232
2195 9358
16375 27936
25939 26892
21843 27733
1955 2402
3889 15603
6980 7109
22289 27371
40906 53817
6221 19069
17440 44489
16300 20055
3190 3193
4268 4271
7982 14527
11820 16577
3648 11791
2469 55947
21637 26378
28737 30903
5170 8123
26291 27076
42601 53194
6292 8476
1041 9206
20399 28573
12266 37018
1233 13146
287 10046
41394 42773
1103 15440
7645 24721
2799 10617
6613 22262
8678 20028
3647 3726
11816 22678
2341 31279
12729 31995
27678 28197
44820 58835
8231 18140
29140 33797
10116 19871
18440 22075
26441 26457
3581 5179
5594 6712
24232 33582
22176 22592
19418 22299
3753 5935
9341 30750
11592 50369
51250 55311
12948 25163
8308 30090
20656 39488
9803 28308
9863 24970
27548 36365
25658 37709
11041 15166
17121 52001
26949 30760
26985 56748
40788 49243
22611 26815
15172 33093
5065 10819
13486 38811
20295 26163
449 18024
21139 39331
18996 30312
15290 28976
15118 16936
17858 26833
31827 34933
7101 17917
4373 34530
296 5866
13400 23780
12973 23068
5925 11279
10388 13980
23335 33055
3587 5093
22254 34794
2042 9271
7046 16576
38500 38512
8382 11019
8506 12447
9879 25294
6892 23876
23601 35266
11938 52623
15049 20408
15308 17911
46356 49681
16703 42143
17910 22677
595 15208
178 1132
1528 5170
15186 22063
9834 36749
11353 49670
7224 40470
28133 34460
3603 3649
2357 7890
624 13580
12019 22901
6179 35247
26148 41468
12566 19149
4252 7440
17837 20995
14903 14987
35393 42414
3679 13007
11213 42224
6736 26652
22447 28811
31700 54730
32848 33088
26943 40898
423 6481
13917 13934
10491 17727
38518 48038
642 1136
8845 16023
16567 44709
21975 27537
10657 11857
1225 38461
3579 19306
22055 26902
16030 26726
13954 16681
13797 23462
25264 39230
4187 16300
2329 30809
14910 15575
1515 1757
22136 41455
13273 13280
5067 10657
15829 42090
23479 45397
28187 28458
25296 58617
1212 9722
10345 29893
11950 22408
12435 23413
6735 8396
10354 31746
4108 22029
11224 11953
3629 22916
4786 17765
5060 11537
24009 24015
8682 14265
8131 31669
6459 8048
7826 13917
3817 3819
33994 35214
25853 43886
3679 19774
8656 11832
11650 26798
6190 32424
26999 27044
5378 17424
27062 38420
8408 19047
2791 6305
3002 10198
602 803
27406 27800
2832 19735
14691 15093
9832 9897
16299 19104
5106 20765
13149 38060
16745 23447
40604 41102
2944 24829
18678 31807
7689 31354
7747 28824
1919 5287
9222 19165
31538 46978
3413 3414
11273 37736
9454 18930
8984 31301
48348 55144
11069 32087
11985 13878
15898 34219
2042 20455
19899 30217
13697 15668
3624 6265
13024 17910
417 2104
9913 19755
11118 24938
22855 40948
5344 12281
11036 11037
14981 29190
3822 15052
19570 34064
2332 5344
9452 36720
10099 16308
14559 30143
6068 18395
3303 3305
14049 24866
7668 8570
45849 52607
7869 15710
3979 24380
6951 26905
44645 48467
237 2769
1631 21421
12556 15339
16326 19158
9875 10144
2336 33246
1846 2602
36118 41098
23653 61315
12337 34514
26182 44868
3516 55679
4746 6590
27588 37706
676 4136
1457 16935
3471 16921
7898 15322
9056 10484
18414 49874
7272 17866
13823 24261
11879 25977
5053 8598
21468 26537
2314 11861
32392 40372
8750 11631
23963 30667
9741 28616
23864 26828
35826 38418
52866 52867
32457 35270
30 33452
24467 33545
3588 5160
25272 31260
19773 29812
556 716
1906 14084
6177 21252
6373 20243
19339 28891
3952 28911
2771 6509
9469 28472
11554 20857
1547 19500
3727 3728
1606 41326
17687 51972
12266 28907
7241 26159
2609 30122
25283 26637
1560 6459
26713 27333
1565 2026
661 744
35510 40270
1327 7400
20197 43509
4323 5126
29434 37962
11859 25130
7530 15241
18338 21927
15026 23424
286 6095
3705 19704
7719 18093
9599 14380
37730 39223
20556 20561
13604 26549
2470 21324
15193 21091
19889 29422
4123 22838
3715 5112
21715 32326
23391 25747
7000 21051
11489 19492
12924 12949
1293 10449
3261 41665
28038 40792
18248 42480
7911 8418
27897 37111
7689 21261
13425 19774
14421 20990
822 17734
31992 37067
14583 14599
471 10009
2977 7480
1405 1629
17255 34575
37719 39562
1103 14979
10018 22120
487 664
9825 9870
14660 31409
27473 41684
39674 40072
32004 32908
3878 25655
3629 14120
42451 47885
3691 14098
4374 9920
14553 15004
24761 30967
881 882
15323 25658
8836 24764
13156 23324
15925 31808
21206 27030
20298 22707
20709 29517
14365 26539
28931 33525
23625 23627
11318 19048
18935 21978
25572 34549
3481 5027
4613 6466
11649 39902
6577 12484
19921 27183
415 18876
24352 34588
859 948
31892 31894
18412 29440
7753 21154
1944 5168
41131 42108
15210 21324
2773 17896
12206 37293
46581 49764
7259 24066
46432 52136
11601 22001
18972 36819
24911 31441
15569 15592
25410 32934
31295 42054
3691 22283
1831 8321
14269 19529
15761 16331
8145 18654
7379 16204
967 28607
2332 24027
9199 11016
911 3012
26425 26433
41992 45479
10115 10116
9911 10951
23334 30064
1207 6265
29052 37689
28911 28918
3950 8272
3736 7516
5086 6542
5638 7499
14914 22738
23073 35739
7184 25756
29374 56028
3378 19494
21767 32272
8953 18465
32021 41386
27118 27406
29632 29796
13265 21389
7157 17970
5100 14101
5853 8070
8033 15768
2978 3014
27061 32218
27767 33715
1828 14323
10091 11109
28547 34840
33012 45818
24554 26553
4454 15518
10641 11349
1904 5423
1385 28319
10070 11069
25484 30512
13191 38781
1310 9112
28908 31894
9639 28692
8233 15744
4485 5983
5038 15056
627 1095
24631 26358
18270 23778
5033 10160
12767 28120
21761 22982
23397 36277
24187 48107
13127 30524
51906 62725
11934 57170
29059 32164
11794 11808
25040 48709
5893 5895
35637 36759
10179 22078
48403 49208
12037 13076
3910 3938
18290 20934
2929 12441
18915 41043
3430 19446
14223 14245
11881 18886
23049 27930
16286 21185
24826 32532
1233 27552
1918 16834
28902 35009
15814 17401
27675 32068
1432 18359
12433 14202
19144 32432
20209 24017
16689 36037
10192 34411
17010 30934
7510 17143
15520 28021
22288 33904
31709 47058
21950 23043
7501 11353
7223 18070
16204 18284
22544 28258
2367 5922
228 36085
469 913
197 56572
3750 4155
11951 33171
8298 53410
12421 22014
49815 49817
24363 32159
14554 29885
13003 37020
471 8503
12842 14041
4178 17818
2718 2859
2143 2811
15984 37019
28441 37242
49341 58636
29753 34465
26035 26413
4714 45760
1271 6034
21458 39776
12043 22052
3551 20551
13392 31967
716 21261
6748 29577
6959 26236
16173 27164
35025 44665
5492 13267
14965 31238
6474 7676
2762 2789
20421 23044
1095 4225
22678 23596
25275 26764
6505 21680
44811 56495
12767 22933
15431 61833
12554 27007
19353 22315
11564 31884
38285 42693
1429 2115
4041 8618
3010 9984
8630 10820
15140 28141
16025 28071
7265 13577
18216 28497
5121 7072
441 5187
2230 9375
16158 19570
21383 31529
16978 27904
22320 31851
12691 13907
19007 19015
17668 21320
31066 31255
14952 48776
15582 25546
27992 41794
359 38545
13155 27140
9298 37684
29195 31078
22295 34513
8504 12113
33319 34892
7046 14465
32976 33352
6338 45003
8593 12513
2314 14873
1734 39742
17455 31199
35095 45108
36570 49032
37664 40934
6838 6887
13080 56332
20881 38426
4893 13724
9872 23115
16262 16265
13471 25838
7774 13981
20763 43568
15144 24157
3682 27609
585 24607
6718 11705
4459 11865
358 7632
13243 19131
7845 7854
3609 31616
2362 19524
451 10909
3647 27129
1085 5849
41509 43649
18445 22188
2492 12241
12279 30527
27806 43662
7896 8646
22025 24501
20825 22284
4165 12691
12326 27476
31888 34107
38809 53805
1671 8784
5643 22260
11126 16637
12408 35340
2730 36451
11150 33783
28991 38879
5250 14310
11717 11728
26799 30339
13465 23192
19573 36617
5187 27817
12541 21048
4382 27603
9051 23465
9785 13366
5615 8507
15282 35148
3821 4355
687 2548
3576 22833
27414 41644
44763 54735
3704 14981
13172 13181
556 17727
19584 40714
24617 30929
27672 33975
17110 33419
8240 36531
32836 42388
27476 36397
914 12911
3690 14956
8933 12627
3980 16831
5292 5663
2322 14963
2606 8271
7572 11846
7877 38511
15153 24440
25224 42374
20338 24725
25475 38842
30436 31459
5126 17616
17588 17595
11537 11795
13178 24987
41774 46085
30792 33196
14352 44489
2305 5133
19107 32065
8255 18033
5162 23023
2361 15291
10475 43796
4695 14703
9960 23186
19997 32483
1506 11867
9223 27127
9566 12856
9051 11130
9420 51732
10050 12582
16894 24160
41194 50756
4166 18421
17239 19776
765 27917
23535 23538
13910 16678
25808 30197
9866 23837
9638 24346
13937 16708
19346 32490
1082 4472
6884 39292
1902 7071
3588 25267
26294 41773
2607 7924
9069 58671
9205 19848
11273 32252
9631 13366
13154 13155
1900 10806
6187 19088
1696 2134
35919 39611
3033 14046
3385 16159
4402 10050
7839 7844
31277 33796
14742 34490
4028 17897
2868 26558
8693 9448
15588 39387
15716 19895
13936 16666
3414 3942
3554 6946
22593 28053
9991 14549
15682 26803
27275 62724
30689 30691
38336 40947
6887 21261
8057 9990
7703 59720
3591 23186
1510 16702
2184 26548
14 11820
18260 37383
16038 29054
17815 21088
89 610
24532 53362
24034 26033
3365 6627
24380 30020
412 27537
31879 32565
12338 16377
19208 39948
4300 7507
12654 21133
12513 14120
3685 14106
7823 9959
29756 32315
11635 19584
13195 13199
32677 35265
39487 41859
437 14669
8246 26324
32722 34178
142 20179
3635 30875
7765 22312
2644 15136
7513 17914
1493 4169
5467 10730
401 18871
20494 24803
39472 39790
2319 5454
3908 13204
9660 27431
10740 16283
1218 4871
11639 39748
11683 27128
24428 26356
7714 13299
20072 24066
19042 39327
37762 40661
133 583
4914 10363
11927 47357
5709 5712
5438 9238
19462 29919
10358 11019
13179 34664
25102 37955
1745 38734
9620 30190
6255 8922
17016 41620
18564 18654
9809 16519
15073 29239
1785 1798
24155 26513
11582 11583
23550 29823
7892 11537
95 3071
19019 21101
56052 56055
7721 20545
4401 39111
10953 16578
13581 13582
31050 31213
3696 37245
12014 19482
5175 8608
3052 8062
8025 8033
6226 32916
17711 30225
21555 40786
14024 15544
15595 22737
21095 50191
2054 12166
7169 38042
554 19437
1925 3943
26540 28793
27376 27611
20172 29412
6306 6307
25082 42750
7463 9418
5080 19500
18371 51942
10921 14099
19794 21598
785 11791
16625 36936
3662 3728
510 1475
2677 3614
22676 23388
5661 5679
16715 16717
27396 30304
22113 22806
28388 36456
10115 24938
26378 31635
24562 25009
26428 47874
8611 11730
4262 54050
23597 41682
9715 19907
137 8402
11555 38449
29525 31783
1528 3049
11069 11859
2357 5174
4749 14041
32576 34036
1463 10440
9088 18546
5929 21372
10843 10854
12872 29737
14338 14347
17657 18459
5256 19822
5913 14301
10020 19114
32404 42106
20311 26378
8158 19305
34894 52173
1944 11268
17061 28275
786 9926
34691 42493
9836 12170
15392 55230
2184 12016
15641 20181
16882 33719
4631 9413
7022 7615
11649 24918
2035 2045
10216 27072
3023 26560
11332 11341
1724 13871
18893 27452
11369 46270
6365 7597
12942 14511
12925 12963
30979 50172
4150 10593
26937 40131
9327 9328
28277 28718
12934 21193
5157 14699
19577 37554
8850 18840
8706 15341
3574 29569
7679 14780
23052 33205
41770 62367
44031 49033
2400 3576
19729 48564
23397 27480
2372 18668
3260 25876
5797 10038
7593 20261
9833 25234
6155 21363
6062 8362
2672 20293
1934 4382
4009 37762
26766 45874
6095 6112
6313 6665
8343 9783
5771 8500
9886 32336
39879 45215
32148 48904
3695 10682
5237 21523
16583 20405
6306 13417
2981 38931
23017 26167
23267 30440
21176 25410
5524 24691
1467 4709
11325 13496
22532 25908
11723 19756
12282 39411
12488 12654
15288 18494
8614 12274
16723 22335
27780 40870
1899 9797
14235 33970
3732 14955
19560 32510
30736 31222
20354 21452
31871 46356
15244 20809
3469 6741
7343 9487
14138 15033
3678 5153
12778 21694
35783 36654
3388 14955
22611 39910
793 16518
11558 24761
2633 50187
2700 15620
8703 16088
8706 25154
13583 26419
35451 35807
7999 11391
8458 15746
5133 13206
7540 25242
16697 39902
1944 18482
8615 23066
20094 45056
12748 18093
32598 36058
12043 16028
14210 27476
31230 36648
9741 11835
294 9442
1521 1968
3729 32656
7337 15763
7400 11578
23599 37626
4365 16813
25333 34517
39142 52747
15451 40778
26060 26065
13593 14901
13099 35506
22292 22351
12837 14019
12301 38700
25126 40233
2596 4243
25799 29050
3702 36955
32990 33321
17753 25561
15173 21208
9195 34973
16108 33939
11951 16329
5482 25335
21997 26739
12029 12037
32796 56088
23446 33748
3712 40123
14313 20128
26951 28462
17022 30825
1942 7930
9846 15386
20764 36835
3814 21241
2807 5216
3951 7111
39585 59111
207 22020
8136 8433
29712 34087
14345 31815
2489 17930
10674 15584
13715 16425
24371 24976
7400 19243
6207 7707
2357 15716
3107 3113
19472 20347
2677 3184
1786 2250
4083 34272
33616 34740
233 2584
10784 14563
3698 5153
8137 18215
12787 17173
849 13413
237 876
16005 16008
15588 18985
11524 16326
3521 11020
520 17228
2435 3936
6960 20927
405 572
7210 11626
2692 12113
4151 16631
12035 15149
11260 14941
13670 17827
18886 21889
15058 26781
25669 40711
14207 17048
1567 2807
1029 1499
874 4247
4371 6977
27703 42084
28466 31670
18069 18176
39413 40897
7961 25528
48359 57191
3310 8332
8761 19584
2939 39153
12243 19244
1237 12619
20587 20792
1067 32914
26957 32842
7364 15453
35708 40671
7046 10911
9959 34311
27128 28442
17611 29367
5105 22870
3702 22760
388 14196
3711 7765
5891 12804
38232 39136
10422 14819
10806 29506
3143 9376
18152 18935
6147 16256
24599 31851
4124 7190
3636 16061
20061 22262
4616 6547
30836 48677
16210 23006
1378 21019
83 26911
19845 41546
8626 15596
24113 27015
593 16573
7823 7843
13086 52930
17558 19258
9373 17717
23380 26816
11644 15727
17404 32916
32072 33928
1189 1595
5623 9089
8504 18070
26583 45345
25279 25663
8622 13462
6038 10853
10250 41778
22689 25572
1003 30074
2560 7531
19408 19776
10910 24336
18244 22934
7409 13655
19361 51594
22293 40715
28613 40412
3202 11790
416 8861
7051 25081
1614 14429
3495 23330
8935 20962
23498 27775
33811 40863
40 19960
37243 41153
39260 40523
3647 3694
3821 4175
5167 17013
7758 30791
8616 20757
9597 43093
10392 24261
13847 14018
14456 17072
11185 11203
52340 53545
17726 42746
31166 31168
207 17022
14607 15136
1371 36365
7157 11369
16753 38307
17319 25745
3839 9205
1955 7684
730 26959
22058 40360
14419 22983
1658 12169
3481 22252
23566 29677
29452 30066
598 1513
8447 37975
2134 2150
7737 8559
3441 13339
29129 29452
12727 21075
4190 26479
30695 43215
11489 20346
3591 3611
13155 34103
28468 32706
46460 46461
15592 27722
14287 20810
15564 28452
12604 20416
3087 7365
4712 39333
351 22143
5867 18227
5361 30063
14693 32510
5453 5463
3679 22280
12316 18544
9156 11012
14593 15771
6593 10737
4306 7517
1489 2019
12379 50301
10435 18424
11932 19621
3663 11798
5026 5757
10936 19507
14119 30197
14981 19487
8881 28775
15620 15997
7956 22818
6901 6908
19999 26917
15138 26891
16172 33657
27177 54056
42217 42472
16316 29717
8740 18458
17060 51062
15420 23387
9904 34611
22345 25272
28936 41275
16719 47599
6214 11155
7959 35748
13100 36335
8869 27562
5881 9713
39734 53592
11750 24518
7894 27788
5525 20412
3483 16921
6310 20129
28756 55426
28904 39179
16051 32578
8598 16519
19418 20333
28369 44080
26829 34582
8123 8695
21548 37967
51540 58847
451 24971
9958 22901
10010 32066
18026 37580
10033 20086
3362 17580
12326 32589
5438 15582
17985 19882
15243 27698
745 1164
12999 13001
3677 3720
34980 40627
960 1977
49613 52088
8688 17251
8179 38011
16046 16077
31610 59721
48677 52665
23608 26008
21195 30031
286 2188
3630 3697
1123 5561
6205 25905
9010 27724
9069 11585
12467 12816
34354 43472
25213 34572
7746 7756
12247 13231
1900 11274
19650 32014
117 3181
8247 34727
6658 24986
27430 39056
3997 11794
6126 26815
830 24373
7111 8134
13889 18971
5431 14088
16474 16963
19200 27341
33516 55987
25546 33976
8493 33204
1501 9019
3580 3601
4921 6046
31380 41155
1015 6353
4960 8180
20320 24430
29195 36802
6210 11137
1509 45871
17753 37710
25298 29510
23841 32138
1656 18806
7400 24400
154 8115
15149 39338
598 16739
9036 22894
24215 39722
19540 41176
15862 28987
19880 30252
24170 29607
8706 28906
8830 10539
17830 27449
8699 10385
1565 21474
287 1207
4981 11242
15627 27061
1420 11965
13168 20345
16016 21875
21260 26332
29083 59298
9904 25266
10605 13536
18421 19379
5157 14986
31340 54241
750 2238
2184 32556
24017 37981
10513 18272
10125 20208
11930 12930
34490 39941
23302 24450
27712 35358
11684 43329
211 3070
8689 21988
2332 9809
4599 9055
4069 13040
1514 1606
29598 36887
20927 23377
1414 2161
3519 29825
9899 24970
3588 5448
12993 22682
1456 1534
8966 17244
17191 17196
22177 38619
25256 36106
5053 11680
14362 25922
25810 28376
5115 7204
8407 8431
34247 34346
20910 27022
40047 41028
11790 18249
19704 23083
4129 26420
23794 27233
24372 30989
10646 12866
24692 45237
3846 5450
16186 42588
33335 38697
3652 20759
6581 25092
1627 61737
787 2290
19537 37704
23410 49347
7312 13738
3711 22290
40004 40007
20071 44027
682 7667
3374 22663
14955 26108
4759 6313
8800 8812
5428 8615
4753 24729
7674 15716
25326 28276
904 6512
8332 19836
35166 39757
13484 26709
5438 13024
8430 8432
12865 13815
30094 51684
26248 37099
13009 46539
2833 10017
13001 14684
23 11052
2791 3147
9216 31133
20341 22221
19225 37290
720 4299
8855 24510
5155 31052
7955 8966
34590 63413
8126 11785
40600 60133
3715 9803
5370 13820
17753 30732
32536 35140
19335 40682
21646 33666
15572 37009
228 6046
3494 20965
4756 5262
12079 14650
8691 15302
10219 48094
12899 16640
31258 35255
284 3159
3607 3645
9825 9838
33482 48345
24692 26912
46514 50279
9231 31229
9167 32644
7454 41636
26187 26191
10124 21084
5841 21969
11504 20172
16759 39441
639 2995
1309 7433
3143 7195
4342 4346
7795 21242
14791 15303
14872 23066
17010 22586
3954 12176
15675 39151
34492 41448
697 42081
2732 42910
